iter	Passed	Remaining
0	15	1832
1	332	19629
2	664	25914
3	962	27909
4	973	22395
5	1301	24722
6	1620	26166
7	1923	26930
8	2230	27511
9	2535	27890
10	2905	28787
11	3319	29872
12	3669	30200
13	4007	30343
14	4312	30190
15	4616	30006
16	4914	29776
17	5211	29530
18	5510	29290
19	5809	29047
20	6136	28931
21	6450	28732
22	6752	28478
23	7046	28185
24	7062	26835
25	7369	26644
26	7683	26464
27	7987	26244
28	8288	26008
29	8597	25793
30	8888	25517
31	9188	25268
32	9490	25020
33	9791	24767
34	10094	24515
35	10393	24252
36	10703	24010
37	11000	23738
38	11302	23474
39	11627	23255
40	11914	22956
41	12221	22697
42	12532	22442
43	12825	22153
44	13131	21885
45	13458	21650
46	13775	21396
47	14078	21117
48	14387	20847
49	14695	20573
50	15017	20317
51	15342	20063
52	15670	19809
53	15963	19511
54	16292	19255
55	16303	18632
56	16642	18394
57	16934	18102
58	17258	17843
59	17570	17570
60	17867	17281
61	18165	16993
62	18467	16708
63	18782	16434
64	19061	16129
65	19373	15851
66	19699	15582
67	19706	15069
68	20031	14806
69	20344	14531
70	20654	14254
71	20944	13963
72	21252	13682
73	21566	13406
74	21868	13121
75	22169	12834
76	22485	12556
77	22790	12272
78	23093	11984
79	23408	11704
80	23718	11420
81	24022	11132
82	24329	10845
83	24641	10560
84	24949	10273
85	25244	9980
86	25554	9693
87	25853	9401
88	26156	9110
89	26465	8821
90	26792	8538
91	27101	8248
92	27436	7965
93	27738	7672
94	28034	7377
95	28353	7088
96	28655	6794
97	28951	6499
98	29265	6207
99	29589	5917
100	29892	5623
101	30200	5329
102	30507	5035
103	30807	4739
104	31119	4445
105	31449	4153
106	31751	3857
107	32050	3561
108	32357	3265
109	32660	2969
110	32960	2672
111	33266	2376
112	33594	2081
113	33900	1784
114	34186	1486
115	34498	1189
116	34808	892
117	35109	595
118	35423	297
119	35730	0
